frame_idx,raw_unique_bins,raw_suppressed_bins,eligible_unique_bins,eligible_suppressed_bins,kept_mag2,total_mag2
0,129,0,128,0,140449966380259,140449966380259
1,129,0,128,0,281468256688488,281468256688488
2,129,0,128,0,281468256688488,281468256688488
3,129,0,128,0,281468256688488,281468256688488
4,129,0,128,0,281468256688488,281468256688488
5,129,0,128,0,281468256688488,281468256688488
6,129,0,128,0,281468256688488,281468256688488
7,129,0,128,0,281468256688488,281468256688488
8,129,0,128,0,140449263413759,140449263413759
9,129,0,128,0,0,0
10,129,0,128,0,0,0
