frame_idx,unique_bins,unique_suppressed_bins,eligible_unique_bins,eligible_suppressed_bins,eligible_kept_mag2,eligible_total_mag2
0,129,0,128,0,0,0
1,129,0,128,0,0,0
2,129,0,128,0,0,0
3,129,0,128,0,0,0
4,129,0,128,0,0,0
5,129,0,128,0,0,0
6,129,0,128,0,0,0
7,129,0,128,0,0,0
8,129,0,128,0,0,0
9,129,0,128,0,0,0
10,129,0,128,0,0,0
11,129,0,128,0,0,0
12,129,0,128,0,0,0
13,129,0,128,0,0,0
14,129,0,128,0,0,0
15,129,0,128,0,0,0
16,129,0,128,0,0,0
17,129,0,128,0,0,0
18,129,0,128,0,0,0
19,129,0,128,0,0,0
20,129,0,128,0,0,0
21,129,0,128,0,0,0
22,129,0,128,0,0,0
23,129,0,128,0,0,0
24,129,0,128,0,0,0
25,129,0,128,0,0,0
26,129,0,128,0,0,0
27,129,0,128,0,0,0
28,129,0,128,0,0,0
29,129,0,128,0,0,0
30,129,0,128,0,0,0
31,129,0,128,0,0,0
32,129,0,128,0,0,0
